start_time,item_nr,elem_nr,item_right,item_right_percentage,elem_right,elem_right_percentage,item_right_without_unknown,item_right_without_unknown_percentage,elem_right_without_unknown,elem_right_without_knonown_percentage,sp00,sp01,sp02,sp03,sp10,sp11,sp12,sp13,sp20,sp21,sp22,sp23,sp30,sp31,sp32,sp33,spun,s0,s1,s2,s3,p0,p1,p2,p3,unknown_percentage
725,855,5130,577,0.674853801,4244,0.827290448,625,0.730994152,4530,0.883040936,3154,202,34,0,167,783,105,1,15,63,298,9,0,2,2,9,286,0.930383481,0.741477273,0.774025974,0.692307692,0.945443645,0.745714286,0.67881549,0.473684211,0.055750487
730,855,5130,571,0.667836257,4167,0.812280702,619,0.723976608,4454,0.868226121,3207,207,40,0,212,677,143,0,8,54,274,9,0,0,3,9,287,0.928488709,0.656007752,0.794202899,0.75,0.93580391,0.721748401,0.595652174,0.5,0.055945419
735,855,5130,580,0.678362573,4232,0.824951267,628,0.734502924,4520,0.881091618,3230,250,33,0,187,745,67,0,22,38,249,10,0,0,3,8,288,0.919442072,0.745745746,0.780564263,0.727272727,0.939226519,0.721200387,0.707386364,0.444444444,0.056140351
740,855,5130,606,0.70877193,4254,0.829239766,654,0.764912281,4542,0.885380117,3306,230,22,0,189,719,67,0,35,39,223,0,0,0,6,6,288,0.929173693,0.737435897,0.750841751,0.5,0.936543909,0.727732794,0.701257862,1,0.056140351
745,855,5130,630,0.736842105,4359,0.849707602,678,0.792982456,4647,0.905847953,3397,178,22,0,165,743,44,0,16,51,212,2,0,1,4,7,288,0.94439811,0.780462185,0.754448399,0.583333333,0.94941308,0.763617677,0.75177305,0.777777778,0.056140351
750,855,5130,637,0.74502924,4434,0.864327485,685,0.801169591,4722,0.920467836,3505,116,5,0,174,730,27,0,18,53,193,3,3,0,9,6,288,0.966629895,0.784103115,0.722846442,0.333333333,0.947297297,0.812013348,0.824786325,0.666666667,0.056140351
755,855,5130,605,0.707602339,4382,0.854191033,663,0.775438596,4680,0.912280702,3434,171,8,0,160,747,29,0,7,62,195,1,1,0,11,6,298,0.950456684,0.798076923,0.735849057,0.333333333,0.953359245,0.762244898,0.802469136,0.857142857,0.058089669
800,855,5130,615,0.719298246,4416,0.860818713,674,0.788304094,4725,0.921052632,3470,112,5,0,182,744,34,0,8,43,196,12,0,0,9,6,309,0.967382214,0.775,0.756756757,0.4,0.948087432,0.827586207,0.803278689,0.333333333,0.060233918
805,855,5130,594,0.694736842,4326,0.843274854,653,0.76374269,4635,0.903508772,3467,99,14,0,229,705,44,0,19,81,148,0,0,0,9,6,309,0.968435754,0.720858896,0.596774194,0.4,0.933243607,0.796610169,0.688372093,1,0.060233918
810,855,5130,596,0.697076023,4310,0.840155945,654,0.764912281,4618,0.900194932,3464,125,10,1,238,700,33,0,32,65,140,0,0,0,8,6,308,0.962222222,0.720906282,0.5907173,0.428571429,0.927691484,0.786516854,0.732984293,0.857142857,0.060038986
815,855,5130,600,0.701754386,4273,0.83294347,657,0.768421053,4580,0.892787524,3468,137,11,2,248,688,37,0,33,74,111,0,0,0,8,6,307,0.95854063,0.70709147,0.509174312,0.428571429,0.925046679,0.765294772,0.664670659,0.75,0.059844055
820,855,5130,602,0.704093567,4280,0.834307992,659,0.770760234,4586,0.893957115,3466,165,24,3,211,696,43,0,20,76,112,0,0,0,2,6,306,0.947512302,0.732631579,0.538461538,0.75,0.937516906,0.742796158,0.61878453,0.666666667,0.059649123
825,855,5130,611,0.714619883,4292,0.836647173,658,0.769590643,4587,0.894152047,3464,203,8,54,169,719,35,0,19,54,103,0,0,0,1,6,295,0.928935371,0.778981582,0.585227273,0.857142857,0.948521358,0.736680328,0.700680272,0.1,0.057504873
830,855,5130,616,0.720467836,4281,0.834502924,663,0.775438596,4564,0.889668616,3501,228,14,68,159,677,35,8,3,50,97,1,0,0,0,6,283,0.918656521,0.770193402,0.642384106,1,0.955773956,0.708900524,0.664383562,0.072289157,0.055165692
